Marca temporal,¿Cuál es tu edad?,¿Cuál es tu sexo?,¿Cuál es tu nivel de estudios?,"Regularmente, ¿Cuánto tiempo al día, pasas estudiando?",¿Con qué frecuencia escuchas música mientras estudias?,"Cuando estudias, ¿recuerdas mejor un tema si lo estudiaste con una canción específica?",La música te ayuda a sobrellevar materias que no te gustan,¿En qué tipo de materias te ayuda escuchar música?,Sientes menos ansiedad cuando escuchas música,Consideras que la música mejora tu rendimiento o te hace sentir más cómodo,"Cuando estudias, ¿escuchas música con o sin audífonos? ","Si no escuchas música al estudiar, qué prefieres escuchar:",¿Sueles cantar mientras estudias con música?,Sueles poner música mientras haces:,"La música que escuchas al estudiar, ¿es diferente a la que escuchas por ocio? ",¿Has dejado de estudiar por distraerte con la música? ,¿Qué buscas al poner música para estudiar? ,La música te ayuda más cuando el tema o materia es…,"Al día siguiente, recuerdas mejor lo que estudias si usaste música", ¿Te molesta que alguien más escuche música diferente cerca de ti mientras estudias? ,La música. ¿te ayuda a concentrarte más en tus tareas?,¿Qué nivel de volumen usas al estudiar con música?,Notas que al estudiar con música cambia tu rendimiento académico,¿En qué tipo de actividades te ayuda más la música?  ,¿Qué género escuchas principalmente al estudiar?,¿La música que escuchas tiene letra (voz)?,"En una escala del 1 al 5, ¿cuánto crees que la música mejora tu concentración?","En una escala del 1 al 5. Cuando estudias con música desde tu teléfono, ¿qué tan frecuente es que termines distrayéndote revisando notificaciones, redes sociales o mensajes?",En una escala del 1 al 5. ¿Estudiar con música usando audífonos te ayuda a aislarte del ruido del entorno?,"Cuando estudias fuera de casa, ¿qué prefieres para concentrarte?","Cuando escuchas música desde tu teléfono para estudiar, ¿usas alguna estrategia para evitar distracciones digitales?","Cuando estudias para un examen importante, ¿cambias el tipo de música o la forma en que la usas?",  ¿Cuál es tu criterio principal para elegir una playList o álbum antes de empezar a estudiar?  ,¿Cuánto tiempo dedicas a elegir la música antes de comenzar realmente a estudiar?,¿Cómo influye la música en tu percepción del paso del tiempo mientras estudias?,"Si una canción que te gusta mucho empieza a sonar, ¿Cuál es tu reacción inmediata?  ","¿Utilizas la música como una señal para ""entrar en modo estudio"" (es decir, como un ritual para empezar)?  "
4/21/2026 10:17:45,19-23 años,Femenino,Licenciatura,Más de 2 horas,Casi siempre,A veces,Si,Materias Teóricas,Sí,Me hace sentir más cómodo,Con audífonos,Conversaciones de fondo,Sí,Tareas difíciles,Si,Casi nunca,Motivación,Difícil,Si,No,Influye mucho,Medio,"Si, mejora","Ejercicios prácticos / Matemáticas / Programación, Redacción de textos","Música Clásica / Instrumental, Soundtracks (Videojuegos/Películas), Lo-Fi / Ambient, Pop / Urbano, Rock / Metal, Electrónica","Sí, en un idioma que no entiendo",4,3,5,Estudiar con música y audífonos,Activo el modo concentración / no molestar,"Si, elijo música más movida","Uso una lista aleatoria recomendada por la plataforma (Spotify, YouTube, etc.)",Menos de 5 minutos,Siento que el tiempo pasa más rápido.,"La escucho mientras sigo trabajando, pero con menor intensidad","Sí, ponerme los audífonos o la música es lo que le indica a mi cerebro que es hora de trabajar"
4/21/2026 10:24:53,24-28 años,Prefiero no decirlo,Primaria,Menos de 1 hora,Nunca,Si,Si,Materias Creativas,Sí,Mejora mi rendimiento,Con audífonos,Ruido blanco,Sí,Tareas difíciles,Si,Siempre,Calma,Fácil,Si,Si,No influye,Bajo,"Si, mejora",Lectura / Memorización,Música Clásica / Instrumental,"Sí, en un idioma que entiendo",1,1,1,Estudiar con música y audífonos,Activo el modo concentración / no molestar,"Sí, elijo música más tranquila o instrumental",Busco una que ya conozco para no distraerme con canciones nuevas,"Nada, uso siempre la misma lista predeterminada",Siento que el tiempo pasa más rápido.,"Me detengo a escucharla o cantarla, interrumpiendo el estudio.","Sí, ponerme los audífonos o la música es lo que le indica a mi cerebro que es hora de trabajar"
4/21/2026 10:34:34,24-28 años,Masculino,Licenciatura,Más de 2 horas,Casi siempre,A veces,Si,Materias Teóricas,Sí,Mejora mi rendimiento,Sin audífonos,Ruido blanco,No,Tareas repetitivas,Si,Casi nunca,Calma,Difícil,Si,Depende,Influye mucho,Medio,"Si, mejora",Lectura / Memorización,Música Clásica / Instrumental,"No, es puramente instrumental",5,5,3,Estudiar con música y audífonos,No uso ninguna estrategia,"Sí, elijo música más tranquila o instrumental","Uso una lista aleatoria recomendada por la plataforma (Spotify, YouTube, etc.)",Menos de 5 minutos,Siento que el tiempo pasa más rápido.,"La escucho mientras sigo trabajando, pero con menor intensidad","No, la pongo simplemente para que me acompañe una vez que ya empecé"
4/21/2026 10:34:52,24-28 años,Masculino,Licenciatura,De 1 a 2 horas,Casi siempre,A veces,Más o menos,"Materias Lógicas (Matemáticas, Física)",Sí,Me hace sentir más cómodo,Con audífonos,Silencio absoluto,Sí,Tareas difíciles,No,Algunas veces,Motivación,Media,No hay diferencia,No,Un poco,Medio,"Si, mejora","Lectura / Memorización, Ejercicios prácticos / Matemáticas / Programación","Música Clásica / Instrumental, Soundtracks (Videojuegos/Películas), Lo-Fi / Ambient, Pop / Urbano, Rock / Metal, Electrónica","Sí, en un idioma que no entiendo",4,3,4,Estudiar con música y audífonos,Activo el modo concentración / no molestar,"Sí, elijo música más tranquila o instrumental","Uso una lista aleatoria recomendada por la plataforma (Spotify, YouTube, etc.)",Menos de 5 minutos,Siento que el tiempo pasa más rápido.,"La escucho mientras sigo trabajando, pero con menor intensidad","No, la pongo simplemente para que me acompañe una vez que ya empecé"
4/21/2026 19:36:06,19-23 años,Femenino,Licenciatura,Más de 2 horas,Casi siempre,Si,Si,Materias Creativas,Sí,Me hace sentir más cómodo,Sin audífonos,Conversaciones de fondo,Sí,Tareas repetitivas,No,Casi siempre,Motivación,Fácil,Si,Si,Un poco,Alto,"Si, mejora","Ejercicios prácticos / Matemáticas / Programación, Diseño / Creatividad","Pop / Urbano, Rock / Metal","Sí, en un idioma que entiendo",3,1,5,Estudiar con música y audífonos,No uso ninguna estrategia,"Si, elijo música más movida","No uso playlists, elijo canciones una por una","Nada, uso siempre la misma lista predeterminada",Siento que el tiempo pasa más rápido.,"La escucho mientras sigo trabajando, pero con menor intensidad","Sí, ponerme los audífonos o la música es lo que le indica a mi cerebro que es hora de trabajar"
4/22/2026 11:39:11,19-23 años,Masculino,Licenciatura,Menos de 1 hora,Casi siempre,A veces,Si,Materias Creativas,Sí,Me hace sentir más cómodo,Con audífonos,Conversaciones de fondo,A veces,Tareas repetitivas,No,Casi nunca,Energía,Fácil,No hay diferencia,No,Un poco,Bajo,"Si, mejora","Ejercicios prácticos / Matemáticas / Programación, Diseño / Creatividad","Pop / Urbano, Rock / Metal","Sí, en un idioma que entiendo",4,5,4,Estudiar con música y audífonos,No uso ninguna estrategia,"No, escucho lo mismo que siempre",Busco música nueva para mantenerme motivado/a,Entre 5 y 15 minutos,No noto ninguna diferencia en mi percepción del tiempo.,"La escucho mientras sigo trabajando, pero con menor intensidad","No, la pongo simplemente para que me acompañe una vez que ya empecé"
4/22/2026 12:50:10,19-23 años,Masculino,Licenciatura,Menos de 1 hora,Casi siempre,A veces,Si,Materias Creativas,Sí,Me hace sentir más cómodo,Con audífonos,Ruido blanco,A veces,Tareas fáciles,A veces,Algunas veces,Energía,Fácil,Si,No,Un poco,Depende,"Si, mejora",Diseño / Creatividad,Pop / Urbano,"Sí, en un idioma que entiendo",4,5,3,"Escuchar ruido ambiente (personas, pasillos, etc.)",No uso ninguna estrategia,"No, escucho lo mismo que siempre",Busco una que ya conozco para no distraerme con canciones nuevas,Más de 15 minutos (a veces procrastino eligiendo la música),Siento que el tiempo pasa más rápido.,"La escucho mientras sigo trabajando, pero con menor intensidad","No, la pongo simplemente para que me acompañe una vez que ya empecé"
4/22/2026 13:30:38,19-23 años,Masculino,Licenciatura,De 1 a 2 horas,Casi siempre,No,Más o menos,Materias Prácticas,No,Me hace sentir más cómodo,Sin audífonos,No aplica,Sí,Tareas repetitivas,No,Casi nunca,Energía,Media,No,Depende,Un poco,Medio,No cambia,"Ejercicios prácticos / Matemáticas / Programación, Redacción de textos","Pop / Urbano, Electrónica","Sí, en un idioma que entiendo",4,2,3,Estudiar con música y audífonos,No uso ninguna estrategia,No uso música para exámenes,Busco una que ya conozco para no distraerme con canciones nuevas,Menos de 5 minutos,Siento que el tiempo pasa más rápido.,"La escucho mientras sigo trabajando, pero con menor intensidad","No, la pongo simplemente para que me acompañe una vez que ya empecé"
4/23/2026 22:24:57,19-23 años,Femenino,Bachillerato o equivalente,Más de 2 horas,Casi siempre,No,Si,Materias Creativas,Sí,Me hace sentir más cómodo,Sin audífonos,Silencio absoluto,A veces,Tareas fáciles,Si,Algunas veces,Calma,Fácil,No,No,Me distrae,Medio,No cambia,"Ejercicios prácticos / Matemáticas / Programación, Diseño / Creatividad",Pop / Urbano,"Sí, en un idioma que entiendo",3,5,3,Estudiar en silencio,No escucho música desde el teléfono al estudiar,No uso música para exámenes,"Uso una lista aleatoria recomendada por la plataforma (Spotify, YouTube, etc.)","Nada, uso siempre la misma lista predeterminada",Siento que el tiempo pasa más rápido.,"Me detengo a escucharla o cantarla, interrumpiendo el estudio.","No, la pongo simplemente para que me acompañe una vez que ya empecé"
4/26/2026 19:47:55,24-28 años,Masculino,Bachillerato o equivalente,Menos de 1 hora,A veces,A veces,Si,Materias Teóricas,Sí,Ambas,Sin audífonos,Silencio absoluto,Sí,Tareas difíciles,Si,Algunas veces,Motivación,Difícil,Si,Si,Influye mucho,Medio,"Si, mejora","Lectura / Memorización, Ejercicios prácticos / Matemáticas / Programación","Música Clásica / Instrumental, Soundtracks (Videojuegos/Películas), Electrónica","No, es puramente instrumental",5,4,4,Estudiar con música y audífonos,Desactivo datos o Wi-Fi,"Sí, elijo música más tranquila o instrumental",Busco una que ya conozco para no distraerme con canciones nuevas,Menos de 5 minutos,Siento que el tiempo pasa más rápido.,"Me detengo a escucharla o cantarla, interrumpiendo el estudio.","Sí, ponerme los audífonos o la música es lo que le indica a mi cerebro que es hora de trabajar"
4/27/2026 22:04:56,Menor de 18 años,Femenino,Secundaria,De 1 a 2 horas,Siempre,A veces,No,Materias Creativas,Sí,Mejora mi rendimiento,Sin audífonos,No aplica,Sí,Todo,No,Algunas veces,Energía,Fácil,No hay diferencia,Depende,Influye mucho,Alto,"Si, mejora",Ninguna,Todo,"Sí, en un idioma que no entiendo",4,3,1,Estudiar con música y audífonos,No uso ninguna estrategia,"Sí, dejo de usar música para concentrarme más",Busco música nueva para mantenerme motivado/a,Entre 5 y 15 minutos,No noto ninguna diferencia en mi percepción del tiempo.,"La escucho mientras sigo trabajando, pero con menor intensidad","A veces, solo cuando me cuesta mucho trabajo iniciar la tarea"
4/27/2026 22:08:23,24-28 años,Femenino,Licenciatura,Menos de 1 hora,Siempre,Si,Si,Materias Creativas,Sí,Ambas,Con audífonos,No aplica,Sí,Tareas fáciles,No,Algunas veces,Energía,Media,Si,No,Me distrae,Medio,"Si, mejora","Ejercicios prácticos / Matemáticas / Programación, Redacción de textos, Diseño / Creatividad",Kpop,"Sí, en un idioma que no entiendo",5,3,5,Estudiar con música y audífonos,No uso ninguna estrategia,"Sí, elijo música más tranquila o instrumental",Busco una que ya conozco para no distraerme con canciones nuevas,Menos de 5 minutos,Siento que el tiempo pasa más rápido.,"Me detengo a escucharla o cantarla, interrumpiendo el estudio.","Sí, ponerme los audífonos o la música es lo que le indica a mi cerebro que es hora de trabajar"
4/27/2026 22:10:13,Menor de 18 años,Femenino,Bachillerato o equivalente,Menos de 1 hora,Nunca,No,Si,Materias Prácticas,Sí,Ambas,Con audífonos,Silencio absoluto,No,Tareas repetitivas,No,Casi siempre,Energía,Fácil,No hay diferencia,Si,Me distrae,Bajo,No cambia,Diseño / Creatividad,"Música Clásica / Instrumental, Pop / Urbano","Sí, en un idioma que no entiendo",1,4,3,Estudiar en silencio,Activo el modo concentración / no molestar,No uso música para exámenes,Busco una que ya conozco para no distraerme con canciones nuevas,"Nada, uso siempre la misma lista predeterminada",No noto ninguna diferencia en mi percepción del tiempo.,"Me detengo a escucharla o cantarla, interrumpiendo el estudio.","No, la pongo simplemente para que me acompañe una vez que ya empecé"
4/27/2026 22:15:14,19-23 años,Femenino,Licenciatura,De 1 a 2 horas,A veces,No,Si,"Materias Lógicas (Matemáticas, Física)",Sí,Me hace sentir más cómodo,Con audífonos,No aplica,Sí,En cualquier tarea,No,Casi nunca,Motivación,Media,No hay diferencia,Depende,Un poco,Medio,"Si, mejora",Ejercicios prácticos / Matemáticas / Programación,Indie y alternativo ,"Sí, en un idioma que no entiendo",3,3,3,Estudiar con música y audífonos,No uso ninguna estrategia,"Sí, elijo música más tranquila o instrumental","Uso una lista aleatoria recomendada por la plataforma (Spotify, YouTube, etc.)","Nada, uso siempre la misma lista predeterminada",Siento que el tiempo pasa más rápido.,"La escucho mientras sigo trabajando, pero con menor intensidad","No, la pongo simplemente para que me acompañe una vez que ya empecé"
4/27/2026 22:16:32,Menor de 18 años,Femenino,Bachillerato o equivalente,Menos de 1 hora,A veces,A veces,Si,Materias Creativas,Sí,Mejora mi rendimiento,Con audífonos,"Ruido blanco, Silencio absoluto",Sí,Tareas fáciles,No,Algunas veces,Energía,Fácil,No hay diferencia,Si,Un poco,Medio,No cambia,"Ejercicios prácticos / Matemáticas / Programación, Diseño / Creatividad","Música Clásica / Instrumental, Soundtracks (Videojuegos/Películas), Pop / Urbano","Sí, en un idioma que no entiendo",3,5,5,Estudiar en silencio,No uso ninguna estrategia,"Sí, elijo música más tranquila o instrumental",Busco música nueva para mantenerme motivado/a,Más de 15 minutos (a veces procrastino eligiendo la música),Siento que el tiempo pasa más rápido.,"Me detengo a escucharla o cantarla, interrumpiendo el estudio.","No, la pongo simplemente para que me acompañe una vez que ya empecé"
4/27/2026 22:21:01,29-33 años,Femenino,Licenciatura,De 1 a 2 horas,Casi siempre,Si,Si,"Materias Lógicas (Matemáticas, Física)",Sí,Ambas,Con audífonos,No aplica,A veces,Tareas repetitivas,A veces,Nunca,Concentración,Media,Si,No,Influye mucho,Medio,"Si, mejora","Ejercicios prácticos / Matemáticas / Programación, Redacción de textos","Música Clásica / Instrumental, Kpop","Sí, en un idioma que no entiendo",5,3,5,Estudiar con música y audífonos,Uso aplicaciones para bloquear redes sociales,"Sí, elijo música más tranquila o instrumental",Busco una que ya conozco para no distraerme con canciones nuevas,Menos de 5 minutos,Siento que el tiempo pasa más lento.,"La escucho mientras sigo trabajando, pero con menor intensidad","Sí, ponerme los audífonos o la música es lo que le indica a mi cerebro que es hora de trabajar"
4/27/2026 22:41:15,24-28 años,Femenino,Bachillerato o equivalente,Más de 2 horas,Casi siempre,No,Si,Materias Teóricas,Tal vez,Me hace sentir más cómodo,Sin audífonos,Silencio absoluto,Sí,Tareas repetitivas,No,Casi nunca,Concentración,Media,No hay diferencia,Si,Un poco,Medio,"Si, mejora","Redacción de textos, Diseño / Creatividad","Pop / Urbano, Rock / Metal","Sí, en un idioma que entiendo",3,5,5,Estudiar con música y audífonos,Activo el modo concentración / no molestar,"No, escucho lo mismo que siempre",Busco una que ya conozco para no distraerme con canciones nuevas,"Nada, uso siempre la misma lista predeterminada",No noto ninguna diferencia en mi percepción del tiempo.,"La escucho mientras sigo trabajando, pero con menor intensidad","Sí, ponerme los audífonos o la música es lo que le indica a mi cerebro que es hora de trabajar"
4/27/2026 22:42:19,Menor de 18 años,Femenino,Bachillerato o equivalente,Más de 2 horas,Casi nunca,No,Si,Materias Creativas,Sí,Me hace sentir más cómodo,Con audífonos,Silencio absoluto,A veces,Tareas fáciles,A veces,Casi nunca,Motivación,Media,Si,Si,Un poco,Medio,No cambia,Diseño / Creatividad,"Música Clásica / Instrumental, Pop / Urbano","Sí, en un idioma que no entiendo",4,4,5,Estudiar en silencio,No uso ninguna estrategia,"No, escucho lo mismo que siempre","Uso una lista aleatoria recomendada por la plataforma (Spotify, YouTube, etc.)","Nada, uso siempre la misma lista predeterminada",Siento que el tiempo pasa más rápido.,"La escucho mientras sigo trabajando, pero con menor intensidad","A veces, solo cuando me cuesta mucho trabajo iniciar la tarea"
4/27/2026 22:48:11,19-23 años,Femenino,Licenciatura,Más de 2 horas,Casi nunca,No,No,Materias Creativas,Tal vez,Me hace sentir más cómodo,Sin audífonos,Silencio absoluto,No,No pongo música,No,Siempre,Energía,Fácil,No,Si,Me distrae,Depende,"Si, empeora",Diseño / Creatividad,"Música Clásica / Instrumental, Rock / Metal, K pop","Sí, en un idioma que no entiendo",1,5,3,Estudiar en silencio,No escucho música desde el teléfono al estudiar,No uso música para exámenes,"Uso una lista aleatoria recomendada por la plataforma (Spotify, YouTube, etc.)",Menos de 5 minutos,Siento que el tiempo pasa más rápido.,"Me detengo a escucharla o cantarla, interrumpiendo el estudio.","A veces, solo cuando me cuesta mucho trabajo iniciar la tarea"
4/27/2026 23:00:31,Menor de 18 años,Femenino,Bachillerato o equivalente,De 1 a 2 horas,Casi siempre,No,Más o menos,Materias Creativas,Sí,Me hace sentir más cómodo,Sin audífonos,Silencio absoluto,Sí,Tareas repetitivas,No,Algunas veces,Motivación,Media,No hay diferencia,Si,Un poco,Medio,"Si, mejora",Redacción de textos,Kpop,"Sí, en un idioma que no entiendo",3,4,5,Estudiar con música y audífonos,No uso ninguna estrategia,No uso música para exámenes,Busco una que ya conozco para no distraerme con canciones nuevas,"Nada, uso siempre la misma lista predeterminada",Siento que el tiempo pasa más rápido.,"La escucho mientras sigo trabajando, pero con menor intensidad","No, la pongo simplemente para que me acompañe una vez que ya empecé"
4/27/2026 23:16:51,19-23 años,Femenino,Licenciatura,Menos de 1 hora,Casi siempre,Si,Más o menos,Materias Prácticas,Sí,Me hace sentir más cómodo,Sin audífonos,Conversaciones de fondo,Sí,Tareas difíciles,No,Casi siempre,Evitar el silencio,Media,Si,No,Un poco,Depende,No cambia,"Ejercicios prácticos / Matemáticas / Programación, Diseño / Creatividad","Música Clásica / Instrumental, Soundtracks (Videojuegos/Películas), Pop / Urbano, Rock / Metal, Electrónica","Sí, en un idioma que entiendo",4,2,4,Estudiar con música y audífonos,No uso ninguna estrategia,"Sí, elijo música más tranquila o instrumental",Busco música nueva para mantenerme motivado/a,Menos de 5 minutos,Siento que el tiempo pasa más rápido.,"La escucho mientras sigo trabajando, pero con menor intensidad","No, la pongo simplemente para que me acompañe una vez que ya empecé"
4/27/2026 23:20:35,19-23 años,Femenino,Licenciatura,Menos de 1 hora,Casi siempre,A veces,Si,Materias Prácticas,Sí,Ambas,Con audífonos,No aplica,Sí,Las tres primeras,A veces,Algunas veces,Nada en específico ,Media,Si,Depende,Un poco,Medio,No cambia,"Lectura / Memorización, Redacción de textos, Diseño / Creatividad","Música Clásica / Instrumental, Rock / Metal, Electrónica, Kpop, cumbia, etc","Sí, en un idioma que no entiendo",3,3,3,Estudiar en silencio,No uso ninguna estrategia,"No, escucho lo mismo que siempre","Uso una lista aleatoria recomendada por la plataforma (Spotify, YouTube, etc.)",Menos de 5 minutos,No noto ninguna diferencia en mi percepción del tiempo.,"La escucho mientras sigo trabajando, pero con menor intensidad","No, la pongo simplemente para que me acompañe una vez que ya empecé"
